line_item,statement,2025-06-30 00:00:00,2024-06-30 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00
Free Cash Flow,cash_flow,-2461000000.0,-26945000000.0,-9958000000.0,22263000000.0,
Repurchase Of Capital Stock,cash_flow,-154000000.0,-362000000.0,-2634000000.0,-6547000000.0,
Repayment Of Debt,cash_flow,-73197000000.0,-82457000000.0,-52970000000.0,-52419000000.0,
Issuance Of Debt,cash_flow,89273000000.0,57610000000.0,59498000000.0,71687000000.0,
Issuance Of Capital Stock,cash_flow,,0.0,0.0,48000000.0,5000000.0
Capital Expenditure,cash_flow,-1636000000.0,-1322000000.0,-1568000000.0,-977000000.0,
End Cash Position,cash_flow,54381000000.0,47321000000.0,107172000000.0,119355000000.0,
Beginning Cash Position,cash_flow,47321000000.0,107172000000.0,119355000000.0,87380000000.0,
Effect Of Exchange Rate Changes,cash_flow,623000000.0,138000000.0,828000000.0,355000000.0,
Changes In Cash,cash_flow,6437000000.0,-59989000000.0,-13011000000.0,31620000000.0,
Financing Cash Flow,cash_flow,7591000000.0,-33252000000.0,-3748000000.0,5711000000.0,
Net Other Financing Charges,cash_flow,,,,,153000000.0
Cash Dividends Paid,cash_flow,-7949000000.0,-7623000000.0,-7117000000.0,-6535000000.0,
Common Stock Dividend Paid,cash_flow,-7949000000.0,-7623000000.0,-7117000000.0,-6535000000.0,
Net Common Stock Issuance,cash_flow,-154000000.0,-362000000.0,-2634000000.0,-6499000000.0,
Common Stock Payments,cash_flow,-154000000.0,-362000000.0,-2634000000.0,-6547000000.0,
Common Stock Issuance,cash_flow,,0.0,0.0,48000000.0,5000000.0
Net Issuance Payments Of Debt,cash_flow,16076000000.0,-24847000000.0,6528000000.0,19268000000.0,
Net Long Term Debt Issuance,cash_flow,16076000000.0,-24847000000.0,6528000000.0,19268000000.0,
Long Term Debt Payments,cash_flow,-73197000000.0,-82457000000.0,-52970000000.0,-52419000000.0,
Long Term Debt Issuance,cash_flow,89273000000.0,57610000000.0,59498000000.0,71687000000.0,
Investing Cash Flow,cash_flow,-329000000.0,-1114000000.0,-873000000.0,2669000000.0,
Dividends Received Cfi,cash_flow,138000000.0,94000000.0,95000000.0,30000000.0,
Net Business Purchase And Sale,cash_flow,128000000.0,89000000.0,526000000.0,3508000000.0,
Sale Of Business,cash_flow,156000000.0,123000000.0,567000000.0,3764000000.0,
Purchase Of Business,cash_flow,-28000000.0,-34000000.0,-41000000.0,-256000000.0,
Net Intangibles Purchase And Sale,cash_flow,-1158000000.0,-921000000.0,-885000000.0,-746000000.0,
Purchase Of Intangibles,cash_flow,-1158000000.0,-921000000.0,-885000000.0,-746000000.0,
Net PPE Purchase And Sale,cash_flow,563000000.0,-376000000.0,-609000000.0,-123000000.0,
Sale Of PPE,cash_flow,1041000000.0,25000000.0,74000000.0,108000000.0,
Purchase Of PPE,cash_flow,-478000000.0,-401000000.0,-683000000.0,-231000000.0,
Operating Cash Flow,cash_flow,-825000000.0,-25623000000.0,-8390000000.0,23240000000.0,
Change In Working Capital,cash_flow,,,-21195000000.0,13460000000.0,31498000000.0
Change In Other Current Liabilities,cash_flow,,,44000000.0,-35000000.0,-338000000.0
Change In Other Current Assets,cash_flow,,,-943000000.0,-795000000.0,185000000.0
Change In Accrued Expense,cash_flow,,,406000000.0,-391000000.0,327000000.0
Other Non Cash Items,cash_flow,,,1850000000.0,1607000000.0,-519000000.0
Provisionand Write Offof Assets,cash_flow,,,400000000.0,-478000000.0,699000000.0
Deferred Tax,cash_flow,,,-244000000.0,-1043000000.0,-518000000.0
Depreciation And Amortization,cash_flow,,,1110000000.0,1518000000.0,1426000000.0
Depreciation,cash_flow,,,1110000000.0,1518000000.0,1426000000.0
Gain Loss On Investment Securities,cash_flow,,,-1000000.0,-4000000.0,-39000000.0
Gain Loss On Sale Of PPE,cash_flow,,,4000000.0,-12000000.0,4000000.0
Gain Loss On Sale Of Business,cash_flow,,,-291000000.0,-2079000000.0,-840000000.0
Net Income From Continuing Operations,cash_flow,,,10090000000.0,10771000000.0,10181000000.0
Cash Flowsfromusedin Operating Activities Direct,cash_flow,-825000000.0,-25623000000.0,-8390000000.0,23240000000.0,
Classesof Cash Payments,cash_flow,-182624000000.0,-184662000000.0,-192312000000.0,-156318000000.0,
Other Cash Paymentsfrom Operating Activities,cash_flow,-60709000000.0,-93820000000.0,-83873000000.0,-48471000000.0,
Classesof Cash Receiptsfrom Operating Activities,cash_flow,181799000000.0,159039000000.0,183922000000.0,179558000000.0,
Other Cash Receiptsfrom Operating Activities,cash_flow,4069000000.0,3548000000.0,3467000000.0,4260000000.0,
