line_item,statement,2024-09-30 00:00:00,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00
Treasury Shares Number,balance_sheet,6173874.0,5249663.0,5034310.0,4363329.0
Ordinary Shares Number,balance_sheet,3435237487.0,3503827297.0,3496093384.0,3664228479.0
Share Issued,balance_sheet,3441411361.0,3509076960.0,3501127694.0,3668591808.0
Net Debt,balance_sheet,140898000000.0,86773000000.0,70388000000.0,85929000000.0
Total Debt,balance_sheet,207167000000.0,189749000000.0,176122000000.0,157846000000.0
Tangible Book Value,balance_sheet,60959000000.0,61609000000.0,60125000000.0,61926000000.0
Invested Capital,balance_sheet,278872000000.0,262244000000.0,246574000000.0,229881000000.0
Net Tangible Assets,balance_sheet,60959000000.0,61609000000.0,60125000000.0,61926000000.0
Common Stock Equity,balance_sheet,71705000000.0,72495000000.0,70452000000.0,72035000000.0
Total Capitalization,balance_sheet,255317000000.0,239557000000.0,217322000000.0,210286000000.0
Total Equity Gross Minority Interest,balance_sheet,72052000000.0,72539000000.0,70509000000.0,72092000000.0
Minority Interest,balance_sheet,347000000.0,44000000.0,57000000.0,57000000.0
Stockholders Equity,balance_sheet,71705000000.0,72495000000.0,70452000000.0,72035000000.0
Gains Losses Not Affecting Retained Earnings,balance_sheet,1732000000.0,1935000000.0,2378000000.0,2227000000.0
Treasury Stock,balance_sheet,758000000.0,702000000.0,655000000.0,606000000.0
Retained Earnings,balance_sheet,32773000000.0,31436000000.0,29063000000.0,28813000000.0
Capital Stock,balance_sheet,37958000000.0,39826000000.0,39666000000.0,41601000000.0
Common Stock,balance_sheet,37958000000.0,39826000000.0,39666000000.0,41601000000.0
Total Liabilities Net Minority Interest,balance_sheet,1005492000000.0,957235000000.0,943689000000.0,863785000000.0
Derivative Product Liabilities,balance_sheet,30974000000.0,24647000000.0,39568000000.0,18059000000.0
Non Current Deferred Liabilities,balance_sheet,,,,90000000.0
Non Current Deferred Taxes Liabilities,balance_sheet,,,,90000000.0
Long Term Debt And Capital Lease Obligation,balance_sheet,183612000000.0,167062000000.0,146870000000.0,138251000000.0
Long Term Debt,balance_sheet,183612000000.0,167062000000.0,146870000000.0,138251000000.0
Long Term Provisions,balance_sheet,2505000000.0,2777000000.0,2950000000.0,3571000000.0
Current Debt And Capital Lease Obligation,balance_sheet,23555000000.0,22687000000.0,29252000000.0,19595000000.0
Current Debt,balance_sheet,23555000000.0,22687000000.0,29252000000.0,19595000000.0
Commercial Paper,balance_sheet,23555000000.0,22687000000.0,29252000000.0,19595000000.0
Payables And Accrued Expenses,balance_sheet,7884000000.0,7109000000.0,3002000000.0,2407000000.0
Payables,balance_sheet,7884000000.0,7109000000.0,3002000000.0,2407000000.0
Total Tax Payable,balance_sheet,569000000.0,780000000.0,219000000.0,71000000.0
Income Tax Payable,balance_sheet,569000000.0,780000000.0,219000000.0,71000000.0
Accounts Payable,balance_sheet,7315000000.0,6329000000.0,2783000000.0,2336000000.0
Total Assets,balance_sheet,1077544000000.0,1029774000000.0,1014198000000.0,935877000000.0
Investments And Advances,balance_sheet,136961000000.0,96829000000.0,94518000000.0,105319000000.0
Available For Sale Securities,balance_sheet,3467000000.0,5839000000.0,6251000000.0,7760000000.0
Trading Securities,balance_sheet,30775000000.0,17096000000.0,12946000000.0,15019000000.0
Long Term Equity Investment,balance_sheet,0.0,0.0,37000000.0,58000000.0
Goodwill And Other Intangible Assets,balance_sheet,10746000000.0,10886000000.0,10327000000.0,10109000000.0
Other Intangible Assets,balance_sheet,3313000000.0,3467000000.0,2934000000.0,2510000000.0
Goodwill,balance_sheet,7433000000.0,7419000000.0,7393000000.0,7599000000.0
Net PPE,balance_sheet,2251000000.0,2245000000.0,2429000000.0,2853000000.0
Receivables,balance_sheet,2855000000.0,2623000000.0,2270000000.0,1589000000.0
Other Receivables,balance_sheet,289000000.0,294000000.0,385000000.0,295000000.0
Accounts Receivable,balance_sheet,2566000000.0,2329000000.0,1885000000.0,1294000000.0
Other Short Term Investments,balance_sheet,102719000000.0,73894000000.0,75284000000.0,82482000000.0
Cash And Cash Equivalents,balance_sheet,66269000000.0,102976000000.0,105734000000.0,71917000000.0
Cash Financial,balance_sheet,9320000000.0,13852000000.0,14711000000.0,16504000000.0
Cash Cash Equivalents And Federal Funds Sold,balance_sheet,84259000000.0,115030000000.0,114722000000.0,74854000000.0
