line_item,statement,2024-09-30 00:00:00,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00
Tax Effect Of Unusual Items,income,-34540800.0,-1204800.0,-428173900.0,-439922126.808611
Tax Rate For Calcs,income,0.3084,0.3012,0.3271,0.35737
Total Unusual Items,income,-112000000.0,-4000000.0,-1309000000.0,-1231000000.0
Total Unusual Items Excluding Goodwill,income,-112000000.0,-4000000.0,-1309000000.0,-1231000000.0
Net Income From Continuing Operation Net Minority Interest,income,6990000000.0,7195000000.0,5694000000.0,5458000000.0
Reconciled Depreciation,income,1522000000.0,1237000000.0,1581000000.0,3054000000.0
Net Interest Income,income,18753000000.0,18317000000.0,17161000000.0,16858000000.0
Interest Expense,income,35594000000.0,25435000000.0,6090000000.0,5420000000.0
Interest Income,income,54347000000.0,43752000000.0,23251000000.0,22278000000.0
Normalized Income,income,7067459200.0,7197795200.0,6574826100.0,6249077873.191389
Net Income From Continuing And Discontinued Operation,income,6990000000.0,7195000000.0,5694000000.0,5458000000.0
Rent Expense Supplemental,income,116000000.0,153000000.0,170000000.0,164000000.0
Diluted Average Shares,income,3895000000.0,3891000000.0,3889000000.0,4118000000.0
Basic Average Shares,income,3476000000.0,3502000000.0,3559000000.0,3653000000.0
Diluted EPS,income,1.917,1.952,1.524,1.378
Basic EPS,income,2.009,2.053,1.599,1.494
Diluted NI Availto Com Stockholders,income,7459000000.0,7590000000.0,5924000000.0,5674000000.0
Average Dilution Earnings,income,476000000.0,400000000.0,233000000.0,218000000.0
Net Income Common Stockholders,income,6983000000.0,7190000000.0,5691000000.0,5456000000.0
Otherunder Preferred Stock Dividend,income,7000000.0,5000000.0,3000000.0,2000000.0
Net Income,income,6990000000.0,7195000000.0,5694000000.0,5458000000.0
Minority Interests,income,0.0,-6000000.0,-5000000.0,-5000000.0
Net Income Including Noncontrolling Interests,income,6990000000.0,7201000000.0,5699000000.0,5463000000.0
Net Income Continuous Operations,income,6990000000.0,7201000000.0,5699000000.0,5463000000.0
Tax Provision,income,3117000000.0,3104000000.0,2770000000.0,3038000000.0
Pretax Income,income,10107000000.0,10305000000.0,8469000000.0,8501000000.0
Special Income Charges,income,-118000000.0,-4000000.0,-1306000000.0,-1238000000.0
Gain On Sale Of Business,income,0.0,268000000.0,-823000000.0,231000000.0
Write Off,income,0.0,0.0,0.0,0.0
Impairment Of Capital Assets,income,27000000.0,39000000.0,349000000.0,1376000000.0
Restructuring And Mergern Acquisition,income,91000000.0,233000000.0,134000000.0,93000000.0
Gain On Sale Of Security,income,-19000000.0,78000000.0,19000000.0,674000000.0
Depreciation Amortization Depletion Income Statement,income,1495000000.0,1198000000.0,1232000000.0,1678000000.0
Depreciation And Amortization In Income Statement,income,1495000000.0,1198000000.0,1232000000.0,1678000000.0
Amortization,income,923000000.0,623000000.0,546000000.0,783000000.0
Amortization Of Intangibles Income Statement,income,923000000.0,623000000.0,546000000.0,783000000.0
Depreciation Income Statement,income,572000000.0,575000000.0,686000000.0,895000000.0
Selling General And Administration,income,6100000000.0,6187000000.0,6060000000.0,6325000000.0
Selling And Marketing Expense,income,176000000.0,169000000.0,158000000.0,220000000.0
General And Administrative Expense,income,5924000000.0,6018000000.0,5902000000.0,6105000000.0
Rent And Landing Fees,income,116000000.0,153000000.0,170000000.0,164000000.0
Salaries And Wages,income,5808000000.0,5865000000.0,5732000000.0,5941000000.0
Total Revenue,income,21587000000.0,21376000000.0,20427000000.0,21020000000.0
Operating Revenue,income,21587000000.0,21376000000.0,20427000000.0,21020000000.0
Occupancy And Equipment,income,129000000.0,159000000.0,118000000.0,107000000.0
Professional Expense And Contract Services Expense,income,798000000.0,905000000.0,1056000000.0,1410000000.0
Other Non Interest Expense,income,2304000000.0,1971000000.0,1853000000.0,2322000000.0
