line_item,statement,2025-01-31 00:00:00,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00
Free Cash Flow,cash_flow,60853000000.0,27021000000.0,3808000000.0,8132000000.0,
Repurchase Of Capital Stock,cash_flow,-33706000000.0,-9533000000.0,-10039000000.0,0.0,
Repayment Of Debt,cash_flow,-1250000000.0,-1250000000.0,0.0,-1000000000.0,
Issuance Of Debt,cash_flow,,0.0,0.0,4977000000.0,4968000000.0
Capital Expenditure,cash_flow,-3236000000.0,-1069000000.0,-1833000000.0,-976000000.0,
Interest Paid Supplemental Data,cash_flow,246000000.0,252000000.0,254000000.0,246000000.0,
Income Tax Paid Supplemental Data,cash_flow,15118000000.0,6549000000.0,1404000000.0,396000000.0,
End Cash Position,cash_flow,8589000000.0,7280000000.0,3389000000.0,1990000000.0,
Beginning Cash Position,cash_flow,7280000000.0,3389000000.0,1990000000.0,847000000.0,
Changes In Cash,cash_flow,1309000000.0,3891000000.0,1399000000.0,1143000000.0,
Financing Cash Flow,cash_flow,-42359000000.0,-13633000000.0,-11617000000.0,1865000000.0,
Cash Flow From Continuing Financing Activities,cash_flow,-42359000000.0,-13633000000.0,-11617000000.0,1865000000.0,
Net Other Financing Charges,cash_flow,-7059000000.0,-2858000000.0,-1535000000.0,-1994000000.0,
Proceeds From Stock Option Exercised,cash_flow,490000000.0,403000000.0,355000000.0,281000000.0,
Cash Dividends Paid,cash_flow,-834000000.0,-395000000.0,-398000000.0,-399000000.0,
Common Stock Dividend Paid,cash_flow,-834000000.0,-395000000.0,-398000000.0,-399000000.0,
Net Common Stock Issuance,cash_flow,-33706000000.0,-9533000000.0,-10039000000.0,0.0,
Common Stock Payments,cash_flow,-33706000000.0,-9533000000.0,-10039000000.0,0.0,
Net Issuance Payments Of Debt,cash_flow,-1250000000.0,-1250000000.0,0.0,3977000000.0,
Net Long Term Debt Issuance,cash_flow,-1250000000.0,-1250000000.0,0.0,3977000000.0,
Long Term Debt Payments,cash_flow,-1250000000.0,-1250000000.0,0.0,-1000000000.0,
Long Term Debt Issuance,cash_flow,,0.0,0.0,4977000000.0,4968000000.0
Investing Cash Flow,cash_flow,-20421000000.0,-10566000000.0,7375000000.0,-9830000000.0,
Cash Flow From Continuing Investing Activities,cash_flow,-20421000000.0,-10566000000.0,7375000000.0,-9830000000.0,
Net Other Investing Changes,cash_flow,22000000.0,-124000000.0,,,
Net Investment Purchase And Sale,cash_flow,-16200000000.0,-9290000000.0,9257000000.0,-8591000000.0,
Sale Of Investment,cash_flow,11861000000.0,9783000000.0,21239000000.0,16220000000.0,
Purchase Of Investment,cash_flow,-28061000000.0,-19073000000.0,-11982000000.0,-24811000000.0,
Net Business Purchase And Sale,cash_flow,-1007000000.0,-83000000.0,-49000000.0,-263000000.0,
Purchase Of Business,cash_flow,-1007000000.0,-83000000.0,-49000000.0,-263000000.0,
Net PPE Purchase And Sale,cash_flow,-3236000000.0,-1069000000.0,-1833000000.0,-976000000.0,
Purchase Of PPE,cash_flow,-3236000000.0,-1069000000.0,-1833000000.0,-976000000.0,
Capital Expenditure Reported,cash_flow,,,,,-1128000000.0
Operating Cash Flow,cash_flow,64089000000.0,28090000000.0,5641000000.0,9108000000.0,
Cash Flow From Continuing Operating Activities,cash_flow,64089000000.0,28090000000.0,5640000000.0,9108000000.0,
Change In Working Capital,cash_flow,-9383000000.0,-3722000000.0,-2207000000.0,-3363000000.0,
Change In Other Working Capital,cash_flow,,,,,163000000.0
Change In Other Current Liabilities,cash_flow,1221000000.0,514000000.0,252000000.0,192000000.0,
Change In Payables And Accrued Expense,cash_flow,7635000000.0,3556000000.0,790000000.0,1149000000.0,
Change In Accrued Expense,cash_flow,4278000000.0,2025000000.0,1341000000.0,581000000.0,
Change In Payable,cash_flow,3357000000.0,1531000000.0,-551000000.0,568000000.0,
Change In Account Payable,cash_flow,3357000000.0,1531000000.0,-551000000.0,568000000.0,
Change In Prepaid Assets,cash_flow,-395000000.0,-1522000000.0,-1517000000.0,-1715000000.0,
Change In Inventory,cash_flow,-4781000000.0,-98000000.0,-2554000000.0,-774000000.0,
Change In Receivables,cash_flow,-13063000000.0,-6172000000.0,822000000.0,-2215000000.0,
Changes In Account Receivables,cash_flow,-13063000000.0,-6172000000.0,822000000.0,-2215000000.0,
Other Non Cash Items,cash_flow,-502000000.0,-278000000.0,1347000000.0,47000000.0,
Stock Based Compensation,cash_flow,4737000000.0,3549000000.0,2709000000.0,2004000000.0,
Deferred Tax,cash_flow,-4477000000.0,-2489000000.0,-2164000000.0,-406000000.0,
Deferred Income Tax,cash_flow,-4477000000.0,-2489000000.0,-2164000000.0,-406000000.0,
Depreciation Amortization Depletion,cash_flow,1864000000.0,1508000000.0,1543000000.0,1174000000.0,
Depreciation And Amortization,cash_flow,1864000000.0,1508000000.0,1543000000.0,1174000000.0,
Amortization Cash Flow,cash_flow,,614000000.0,699000000.0,563000000.0,612000000.0
Amortization Of Intangibles,cash_flow,,614000000.0,699000000.0,563000000.0,612000000.0
Depreciation,cash_flow,,894000000.0,844000000.0,611000000.0,486000000.0
Operating Gains Losses,cash_flow,-1030000000.0,-238000000.0,45000000.0,-100000000.0,
Gain Loss On Investment Securities,cash_flow,-1030000000.0,-238000000.0,45000000.0,-100000000.0,
Net Income From Continuing Operations,cash_flow,72880000000.0,29760000000.0,4368000000.0,9752000000.0,
