line_item,statement,2025-01-31 00:00:00,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00
Tax Effect Of Unusual Items,income,0.0,0.0,-284130000.0,0.0
Tax Rate For Calcs,income,0.133,0.12,0.21,0.019
Normalized EBITDA,income,86137000000.0,35583000000.0,7339000000.0,11351000000.0
Total Unusual Items,income,0.0,0.0,-1353000000.0,0.0
Total Unusual Items Excluding Goodwill,income,0.0,0.0,-1353000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,income,72880000000.0,29760000000.0,4368000000.0,9752000000.0
Reconciled Depreciation,income,1864000000.0,1508000000.0,1543000000.0,1174000000.0
Reconciled Cost Of Revenue,income,32639000000.0,16621000000.0,11618000000.0,9439000000.0
EBITDA,income,86137000000.0,35583000000.0,5986000000.0,11351000000.0
EBIT,income,84273000000.0,34075000000.0,4443000000.0,10177000000.0
Net Interest Income,income,1539000000.0,609000000.0,5000000.0,-207000000.0
Interest Expense,income,247000000.0,257000000.0,262000000.0,236000000.0
Interest Income,income,1786000000.0,866000000.0,267000000.0,29000000.0
Normalized Income,income,72880000000.0,29760000000.0,5436870000.0,9752000000.0
Net Income From Continuing And Discontinued Operation,income,72880000000.0,29760000000.0,4368000000.0,9752000000.0
Total Expenses,income,49044000000.0,27950000000.0,21397000000.0,16873000000.0
Total Operating Income As Reported,income,81453000000.0,32972000000.0,4224000000.0,10041000000.0
Diluted Average Shares,income,24804000000.0,24940000000.0,25070000000.0,25350000000.0
Basic Average Shares,income,24555000000.0,24690000000.0,24870000000.0,24960000000.0
Diluted EPS,income,2.94,1.19,0.174,0.385
Basic EPS,income,2.97,1.21,0.176,0.391
Diluted NI Availto Com Stockholders,income,72880000000.0,29760000000.0,4368000000.0,9752000000.0
Net Income Common Stockholders,income,72880000000.0,29760000000.0,4368000000.0,9752000000.0
Net Income,income,72880000000.0,29760000000.0,4368000000.0,9752000000.0
Net Income Including Noncontrolling Interests,income,72880000000.0,29760000000.0,4368000000.0,9752000000.0
Net Income Continuous Operations,income,72880000000.0,29760000000.0,4368000000.0,9752000000.0
Tax Provision,income,11146000000.0,4058000000.0,-187000000.0,189000000.0
Pretax Income,income,84026000000.0,33818000000.0,4181000000.0,9941000000.0
Other Income Expense,income,1034000000.0,237000000.0,-1401000000.0,107000000.0
Other Non Operating Income Expenses,income,1034000000.0,237000000.0,-48000000.0,107000000.0
Special Income Charges,income,0.0,0.0,-1353000000.0,0.0
Restructuring And Mergern Acquisition,income,0.0,0.0,1353000000.0,0.0
Net Non Operating Interest Income Expense,income,1539000000.0,609000000.0,5000000.0,-207000000.0
Interest Expense Non Operating,income,247000000.0,257000000.0,262000000.0,236000000.0
Interest Income Non Operating,income,1786000000.0,866000000.0,267000000.0,29000000.0
Operating Income,income,81453000000.0,32972000000.0,5577000000.0,10041000000.0
Operating Expense,income,16405000000.0,11329000000.0,9779000000.0,7434000000.0
Research And Development,income,12914000000.0,8675000000.0,7339000000.0,5268000000.0
Selling General And Administration,income,3491000000.0,2654000000.0,2440000000.0,2166000000.0
Gross Profit,income,97858000000.0,44301000000.0,15356000000.0,17475000000.0
Cost Of Revenue,income,32639000000.0,16621000000.0,11618000000.0,9439000000.0
Total Revenue,income,130497000000.0,60922000000.0,26974000000.0,26914000000.0
Operating Revenue,income,130497000000.0,60922000000.0,26974000000.0,26914000000.0
